cod_meta,Valor apurado,% Cumprimento,Conferencia
TJMG 5,65,93.00%,92.86
TJMG 6,67,96.00%,95.71
TJMG 7,93.66,99.00%,98.59
TJMG 10,65.10,543.00%,542.50
TJMG 17,96,137.00%,137.14
TJMG 29,73,91.00%,91.25
TJMG 40,32,107.00%,1.07
TJMG 59,90,106.00%,105.88
TJMG 62,100,100.00%,100.00
TJMG 67,85,90.00%,90.43
TJMG 69,100,111.00%,111.11
TJMG 79,45.50,46.00%,45.50
TJMG 80,83.30,83.00%,83.30
TJMG 85,87609,146.00%,1.46
TJMG 91,103,108.00%,108.42
TJMG 95,50,50.00%,50.00
TJMG 96,93,93.00%,93.00
TJMG 97,30.81,3081.00%,3.081.00
TJMG 100,97,194.00%,1.94
TJMG 104,68,68.00%,68.00
TJMG 109,42.40,61.00%,60.57
TJMG 111,87,109.00%,108.75
TJMG 115,94,99.00%,98.95
TJMG 123,87.39,87.00%,87.39
TJMG 124,55266,276.00%,2.76
TJMG 126,78.70,79.00%,78.70
TJMG 128,64,160.00%,1.60
TJMG 129,64,64.00%,64.00
TJMG 130,17,131.00%,1.31
TJMG 131,0,0.00%,0.00
TJMG 132,95,95.00%,95.00
TJMG 133,100,100.00%,100.00
TJMG 134,0,0.00%,0.00
TJMG 135,0,0.00%,0.00
TJMG 136,0,0.00%,0.00
TJMG 137,28.54,71.00%,71.35
TJMG 138,2755,230.00%,2.30
TJMG 139,1,20.00%,0.20
TJMG 140,97,388.00%,3.88
TJMG 141,83.60,84.00%,83.60
TJMG 142,100,100.00%,100.00
TJMG 143,10,83.00%,100.00
TJMG 144,2,20.00%,0.20
TJMG 145,135419,0.00%,0.00
TJMG 146,30.40,304.00%,304.00
TJMG 147,21,70.00%,210.00
TJMG 148,15.10,378.00%,377.50
TJMG 149,-9.20,-18.00%,-18.40
TJMG 152,100,100.00%,100.00
TJMG 150,1,100.00%,1.00
TJMG 153,12,133.00%,1.33
TJMG 154,100,100.00%,100.00
TJMG 151,2,100.00%,1.00
TJMG 155,39,100.00%,1.00
TJMG 156,84,100.00%,1.00
